"oneyear.int";"year";"sample";"Freq"
"1414";"(1.2,1.8]";"2009";"me23";NA
"1418";"(1.2,1.8]";"2010";"me23";NA
"1422";"(1.2,1.8]";"2011";"me23";4
"1426";"(1.2,1.8]";"2012";"me23";NA
"1430";"(1.2,1.8]";"1992";"me3";0
"1434";"(1.2,1.8]";"1993";"me3";0
"1438";"(1.2,1.8]";"1994";"me3";2
"1442";"(1.2,1.8]";"1995";"me3";1
"1446";"(1.2,1.8]";"1996";"me3";0
"1450";"(1.2,1.8]";"1997";"me3";0
"1454";"(1.2,1.8]";"1998";"me3";22
"1458";"(1.2,1.8]";"1999";"me3";5
"1462";"(1.2,1.8]";"2000";"me3";7
"1466";"(1.2,1.8]";"2001";"me3";9
"1470";"(1.2,1.8]";"2002";"me3";8
"1474";"(1.2,1.8]";"2003";"me3";35
"1478";"(1.2,1.8]";"2004";"me3";40
"1482";"(1.2,1.8]";"2005";"me3";16
"1486";"(1.2,1.8]";"2006";"me3";6
"1490";"(1.2,1.8]";"2007";"me3";NA
"1494";"(1.2,1.8]";"2008";"me3";21
"1498";"(1.2,1.8]";"2009";"me3";41
"1502";"(1.2,1.8]";"2010";"me3";26
"1506";"(1.2,1.8]";"2011";"me3";NA
"1510";"(1.2,1.8]";"2012";"me3";5
"1514";"(1.2,1.8]";"1992";"me31";NA
"1518";"(1.2,1.8]";"1993";"me31";NA
"1522";"(1.2,1.8]";"1994";"me31";NA
"1526";"(1.2,1.8]";"1995";"me31";NA
"1530";"(1.2,1.8]";"1996";"me31";NA
"1534";"(1.2,1.8]";"1997";"me31";NA
"1538";"(1.2,1.8]";"1998";"me31";NA
"1542";"(1.2,1.8]";"1999";"me31";NA
"1546";"(1.2,1.8]";"2000";"me31";NA
"1550";"(1.2,1.8]";"2001";"me31";NA
"1554";"(1.2,1.8]";"2002";"me31";NA
"1558";"(1.2,1.8]";"2003";"me31";NA
"1562";"(1.2,1.8]";"2004";"me31";NA
"1566";"(1.2,1.8]";"2005";"me31";NA
"1570";"(1.2,1.8]";"2006";"me31";NA
"1574";"(1.2,1.8]";"2007";"me31";NA
"1578";"(1.2,1.8]";"2008";"me31";NA
"1582";"(1.2,1.8]";"2009";"me31";NA
"1586";"(1.2,1.8]";"2010";"me31";NA
"1590";"(1.2,1.8]";"2011";"me31";2
"1594";"(1.2,1.8]";"2012";"me31";NA
"1598";"(1.2,1.8]";"1992";"me32";NA
"1602";"(1.2,1.8]";"1993";"me32";NA
"1606";"(1.2,1.8]";"1994";"me32";NA
"1610";"(1.2,1.8]";"1995";"me32";NA
"1614";"(1.2,1.8]";"1996";"me32";NA
"1618";"(1.2,1.8]";"1997";"me32";NA
"1622";"(1.2,1.8]";"1998";"me32";NA
