"Var1";"Var2";"Freq"
"815";"5m3";"2008";1
"816";"6m1";"2008";2
"817";"6m2";"2008";1
"818";"6m3";"2008";5
"819";"7m1";"2008";4
"820";"7m2";"2008";4
"821";"7m3";"2008";7
"822";"8m1";"2008";1
"823";"8m2";"2008";0
"824";"8m3";"2008";3
"825";"9m1";"2008";3
"826";"9m2";"2008";2
"827";"9m3";"2008";4
"828";"I-1";"2008";NA
"829";"I-2";"2008";NA
"830";"I-3";"2008";NA
"831";"II-1";"2008";NA
"832";"II-2";"2008";NA
"833";"II-3";"2008";NA
"834";"III-1";"2008";NA
"835";"III-2";"2008";NA
"836";"III-3";"2008";NA
"837";"IV-1";"2008";NA
"838";"IV-2";"2008";NA
"839";"IV-3";"2008";NA
"840";"M-1";"2008";NA
"841";"M-10";"2008";NA
"842";"M-11";"2008";NA
"843";"M-13";"2008";NA
"844";"M-14";"2008";NA
"845";"M-15";"2008";NA
"846";"M-16";"2008";NA
"847";"M-17";"2008";NA
"848";"M-18";"2008";NA
"849";"M-19";"2008";NA
"850";"M-2";"2008";NA
"851";"M-20";"2008";NA
"852";"M-21";"2008";NA
"853";"M-22";"2008";NA
"854";"M-23";"2008";NA
"855";"M-24";"2008";NA
"856";"M-25";"2008";NA
"857";"M-3";"2008";NA
"858";"M-4";"2008";NA
"859";"M-5";"2008";NA
"860";"M-6";"2008";NA
"861";"M-7";"2008";NA
"862";"M-8";"2008";NA
"863";"M-9";"2008";NA
"864";"mr11";"2008";NA
"865";"mr13";"2008";NA
"866";"mr14";"2008";NA
"867";"mr15";"2008";NA
"868";"mr16";"2008";NA
"869";"mr18";"2008";NA
"870";"mr19";"2008";NA
"871";"mr20";"2008";NA
"872";"mr21";"2008";NA
"873";"mr22";"2008";NA
"874";"mr25";"2008";NA
"875";"mr6";"2008";NA
"876";"mr8";"2008";NA
"877";"mr9";"2008";NA
"878";"V-1";"2008";NA
"879";"V-2";"2008";NA
"880";"V-3";"2008";NA
"881";"VI-1";"2008";NA
"882";"VI-2";"2008";NA
"883";"VI-3";"2008";NA
"884";"VII-1";"2008";NA
"885";"VII-2";"2008";NA
"886";"VII-3";"2008";NA
"887";"VIII-1";"2008";NA
"888";"VIII-2";"2008";NA
"889";"VIII-3";"2008";NA
