day;month;year;area;Nst;sample;N.sqmeter
28;7;1992;Seldyanaya;3;n3;8
30;7;1993;Seldyanaya;3;n3;8
9;8;1994;Seldyanaya;3;n3;0
4;8;1995;Seldyanaya;3;n3;0
25;7;1996;Seldyanaya;3;n3;7
22;7;1997;Seldyanaya;3;n3;17,55
31;7;1998;Seldyanaya;3;n3;52,8
15;8;1999;Seldyanaya;3;n3;NA
6;8;2000;Seldyanaya;3;n3;6,55
6;8;2001;Seldyanaya;3;n3;32,35
4;8;2002;Seldyanaya;3;n3;13,1
5;8;2003;Seldyanaya;3;n3;22,925
7;8;2004;Seldyanaya;3;n3;131,475
23;7;2005;Seldyanaya;3;n3;39,3
30;7;2006;Seldyanaya;3;n3;13,1
4;8;2007;Seldyanaya;3;n3;42,175
5;8;2008;Seldyanaya;3;n3;19,65
6;8;2009;Seldyanaya;3;n3;3,275
28;7;2010;Seldyanaya;3;n3;12,7
6;8;2011;Seldyanaya;3;n3;13,1
30;7;2012;Seldyanaya;3;n3;6,55
29;7;2013;Seldyanaya;3;n3;3,275
20;7;1987;Seldyanaya;4;n3;0
24;7;1990;Seldyanaya;4;n3;1
30;7;1991;Seldyanaya;4;n3;5
29;7;1992;Seldyanaya;4;n3;3
1;8;1993;Seldyanaya;4;n3;3
9;8;1994;Seldyanaya;4;n3;0
4;8;1995;Seldyanaya;4;n3;0
29;7;1996;Seldyanaya;4;n3;3
23;7;1997;Seldyanaya;4;n3;5
3;8;1998;Seldyanaya;4;n3;0
15;8;1999;Seldyanaya;4;n3;NA
6;8;2000;Seldyanaya;4;n3;3,275
6;8;2001;Seldyanaya;4;n3;0
4;8;2002;Seldyanaya;4;n3;3,275
5;8;2003;Seldyanaya;4;n3;0
7;8;2004;Seldyanaya;4;n3;63,9
23;7;2005;Seldyanaya;4;n3;19,65
30;7;2006;Seldyanaya;4;n3;0
4;8;2007;Seldyanaya;4;n3;0
5;8;2008;Seldyanaya;4;n3;15,975
28;7;2010;Seldyanaya;4;n3;6,55
6;8;2011;Seldyanaya;4;n3;19,65
30;7;2012;Seldyanaya;4;n3;0
29;7;2013;Seldyanaya;4;n3;3,275
1;8;1987;Medvezhya;5;n3;2
16;8;1988;Medvezhya;5;n3;1
25;7;1989;Medvezhya;5;n3;4
3;8;1990;Medvezhya;5;n3;2
3;8;1991;Medvezhya;5;n3;4
3;8;1992;Medvezhya;5;n3;5
16;8;1993;Medvezhya;5;n3;9
12;8;1994;Medvezhya;5;n3;35,65
9;8;1995;Medvezhya;5;n3;24,7
2;8;1996;Medvezhya;5;n3;6
24;7;1997;Medvezhya;5;n3;45,75
10;8;1998;Medvezhya;5;n3;34,95
16;8;1999;Medvezhya;5;n3;NA
30;7;2000;Medvezhya;5;n3;19,65
13;8;2001;Medvezhya;5;n3;99,125
11;8;2002;Medvezhya;5;n3;61,825
10;8;2003;Medvezhya;5;n3;19,65
14;8;2004;Medvezhya;5;n3;22,925
2;8;2005;Medvezhya;5;n3;25,8
5;8;2006;Medvezhya;5;n3;6,55
8;8;2007;Medvezhya;5;n3;13,1
14;8;2008;Medvezhya;5;n3;13,1
15;8;2009;Medvezhya;5;n3;41,375
2;8;2010;Medvezhya;5;n3;0
1;8;2011;Medvezhya;5;n3;31,95
4;8;2012;Medvezhya;5;n3;28,675
6;8;2013;Medvezhya;5;n3;3,275
23;7;1987;Medvezhya;6;n3;5
14;8;1988;Medvezhya;6;n3;0
26;7;1989;Medvezhya;6;n3;1
